Date,SPY,IWM,XLE,XLU,XLK,XLB,XLP,XLY,XLI,XLV,XLF,SHY,TLT
2015-02-11,175.53781127929688,105.54532623291016,54.31272888183594,33.99691390991211,37.10779571533203,41.58800506591797,38.71479797363281,66.08302307128906,47.421119689941406,60.35424041748047,16.430561065673828,74.45944213867188,104.0077896118164
2015-02-12,177.22589111328125,106.74703979492188,55.025001525878906,33.84198760986328,37.613685607910156,42.301170349121094,38.89467239379883,66.86449432373047,47.86689758300781,60.56920623779297,16.593435287475586,74.4858169555664,103.66361999511719
2015-02-13,177.95542907714844,107.38320922851562,56.18934631347656,33.32552719116211,37.85332107543945,42.65776062011719,38.71479797363281,67.26869201660156,48.085594177246094,60.809967041015625,16.579866409301758,74.4858169555664,102.59915161132812
2015-02-17,178.23536682128906,107.71897888183594,56.3605842590332,33.296024322509766,37.87107849121094,42.70752716064453,38.72260665893555,67.1159896850586,48.15288543701172,61.248512268066406,16.6341609954834,74.45059967041016,101.054443359375
2015-02-18,178.25233459472656,107.83384704589844,55.68938446044922,34.08544921875,37.90657043457031,42.82362365722656,38.93378829956055,67.080078125,48.42203140258789,61.31728744506836,16.53236198425293,74.53868103027344,101.65473937988281
2015-02-19,178.12506103515625,107.84268951416016,55.42911911010742,33.70180130004883,38.03970718383789,42.93971633911133,38.683502197265625,67.28667449951172,48.506141662597656,61.420475006103516,16.464494705200195,74.49462127685547,100.98243713378906
2015-02-20,179.1939239501953,108.13426971435547,55.16200637817383,33.709171295166016,38.234962463378906,43.064109802246094,38.792999267578125,67.76274871826172,48.918270111083984,62.06538391113281,16.586650848388672,74.4858169555664,101.2785415649414
2015-02-23,179.16848754882812,108.24030303955078,54.93598937988281,33.937889099121094,38.26158142089844,43.014347076416016,38.902503967285156,67.69982147216797,48.70800018310547,62.34913635253906,16.545928955078125,74.52104187011719,102.43902587890625
2015-02-24,179.67742919921875,108.38169860839844,55.0866584777832,34.1887321472168,38.37696838378906,43.19679260253906,39.035465240478516,68.02323150634766,48.90146255493164,62.27174758911133,16.62737274169922,74.58262634277344,103.78370666503906
2015-02-25,179.52476501464844,108.50538635253906,55.38801574707031,33.628013610839844,38.13733673095703,43.07240676879883,38.902503967285156,68.54418182373047,48.80051803588867,62.24593734741211,16.62737274169922,74.58262634277344,104.23191833496094
2015-02-26,179.31268310546875,108.90299987792969,54.36066436767578,33.406681060791016,38.37696838378906,42.798736572265625,38.957252502441406,68.32860565185547,48.581844329833984,62.41792297363281,16.586650848388672,74.51222229003906,102.80723571777344
2015-02-27,178.7019805908203,108.31097412109375,54.12095260620117,33.36980056762695,38.24383544921875,42.69924545288086,39.11367416381836,68.23880004882812,48.354736328125,62.116973876953125,16.525577545166016,74.53868103027344,103.671630859375
2015-03-02,179.83013916015625,109.09737396240234,53.744266510009766,32.72793197631836,38.545597076416016,42.981178283691406,39.184059143066406,69.05616760253906,48.80051803588867,62.67586135864258,16.64773178100586,74.47786712646484,101.74056243896484
2015-03-03,179.0921173095703,108.45236206054688,53.94287109375,32.9271354675293,38.2882080078125,42.74897766113281,39.035465240478516,68.86754608154297,48.48931884765625,62.10834884643555,16.600223541259766,74.4603042602539,101.37169647216797
2015-03-04,178.33718872070312,108.11660766601562,53.86754608154297,32.742679595947266,38.13733673095703,42.5997200012207,38.761714935302734,68.50825500488281,48.11082077026367,62.409332275390625,16.49842643737793,74.47786712646484,101.4037857055664
2015-03-05,178.5322265625,108.4346923828125,53.545654296875,33.00090789794922,38.09295654296875,42.417274475097656,38.89467239379883,68.55317687988281,48.14446258544922,62.632877349853516,16.5662899017334,74.50434112548828,101.27547454833984
2015-03-06,176.02133178710938,107.06511688232422,52.586769104003906,32.01228713989258,37.62255859375,41.8450813293457,38.13600540161133,67.73578643798828,47.488407135009766,61.40328598022461,16.444133758544922,74.42507934570312,99.03811645507812
2015-03-09,176.75082397460938,107.53340911865234,52.210079193115234,32.07129669189453,37.8000602722168,41.90312957763672,38.34718322753906,68.12200927734375,47.9342041015625,61.781612396240234,16.51878547668457,74.4603042602539,99.95230102539062
2015-03-10,173.88357543945312,106.29638671875,51.48408508300781,32.01228713989258,37.027915954589844,41.26459503173828,37.799705505371094,67.06210327148438,47.05104446411133,61.093727111816406,16.165874481201172,74.47786712646484,101.26744842529297
2015-03-11,173.47640991210938,106.95026397705078,51.6347541809082,31.805702209472656,36.78828048706055,41.2148323059082,37.51033020019531,66.69383239746094,47.00056838989258,61.059326171875,16.267677307128906,74.47786712646484,102.00524139404297
2015-03-12,175.6820068359375,108.72627258300781,51.30602264404297,32.41067123413086,37.027915954589844,41.728973388671875,38.05780792236328,68.05017852783203,47.60616683959961,61.86760711669922,16.620588302612305,74.49546813964844,101.93306732177734
2015-03-13,174.6046600341797,108.33747863769531,51.114227294921875,32.07868957519531,36.823787689208984,41.3309326171875,37.760597229003906,67.51122283935547,47.168792724609375,61.74721145629883,16.505212783813477,74.50434112548828,101.6203384399414
2015-03-16,176.93743896484375,108.97369384765625,51.80599594116211,32.632022857666016,37.2586669921875,41.26459503173828,38.222068786621094,68.30166625976562,47.951011657714844,63.11442565917969,16.708812713623047,74.51307678222656,102.5986328125
2015-03-17,176.41151428222656,109.26528930664062,51.60736083984375,32.58037567138672,37.26757049560547,40.808475494384766,37.948326110839844,67.92440795898438,47.7575569152832,62.93385314941406,16.668088912963867,74.49546813964844,103.44874572753906
2015-03-18,178.5322265625,110.14002227783203,53.10729217529297,33.45832443237305,37.7734489440918,41.430442810058594,38.20640563964844,68.52621459960938,48.32109832763672,63.750728607177734,16.763105392456055,74.6716079711914,105.44548797607422
2015-03-19,177.71792602539062,110.35209655761719,52.26487350463867,33.14846420288086,37.66693115234375,40.71726989746094,38.03433609008789,68.42742156982422,47.993072509765625,64.1204605102539,16.607009887695312,74.57472229003906,104.90821838378906
2015-03-20,179.28660583496094,111.32403564453125,53.03373718261719,33.4466438293457,37.91023254394531,40.97947311401367,38.51121520996094,69.18896484375,48.26429748535156,64.58438110351562,16.832489013671875,74.6275634765625,105.46155548095703
2015-03-23,178.93724060058594,111.22686767578125,52.847537994384766,33.46894454956055,37.91023254394531,40.97947311401367,38.574161529541016,69.07182312011719,47.85871887207031,64.40330505371094,16.737119674682617,74.65396118164062,105.3332290649414
2015-03-24,177.93177795410156,111.20033264160156,52.49586486816406,33.097145080566406,37.78546905517578,40.84629440307617,38.35384750366211,68.71131896972656,47.69818115234375,63.842811584472656,16.600881576538086,74.68036651611328,106.35163879394531
2015-03-25,175.32440185546875,108.54411315917969,53.17854309082031,32.710487365722656,36.8140983581543,40.38845443725586,38.259403228759766,67.59375762939453,46.887001037597656,62.67875289916992,16.335214614868164,74.66275024414062,105.4535140991211
2015-03-26,174.90689086914062,108.41119384765625,53.116451263427734,32.43536376953125,36.8408317565918,40.48002243041992,38.094154357910156,67.170166015625,46.76027297973633,62.53213882446289,16.321590423583984,74.6275634765625,103.80956268310547
2015-03-27,175.307373046875,109.10248565673828,52.68206024169922,32.628692626953125,36.86756134033203,40.463375091552734,38.33022689819336,67.51265716552734,46.93770980834961,62.98054122924805,16.301151275634766,74.6716079711914,105.1006851196289
2015-03-30,177.44606018066406,110.58261108398438,53.812923431396484,33.03023147583008,37.31314468383789,41.01277160644531,38.715797424316406,68.20660400390625,47.59678268432617,63.61861038208008,16.53957176208496,74.66275024414062,104.57942199707031
2015-03-31,175.89529418945312,110.22807312011719,53.495723724365234,33.03766632080078,36.92994689941406,40.604888916015625,38.35384750366211,67.90917205810547,47.12360382080078,62.514896392822266,16.423770904541016,74.72438049316406,104.803955078125
2015-04-01,175.2732391357422,110.27239990234375,53.481937408447266,33.06740951538086,36.8764762878418,40.72141647338867,38.40104293823242,67.6117935180664,46.81096267700195,61.88545227050781,16.410146713256836,74.75697326660156,106.18057250976562
2015-04-02,175.90383911132812,110.47622680664062,53.59225082397461,33.12690353393555,36.86756134033203,40.76304626464844,38.66073226928711,68.21562194824219,46.83631896972656,62.07514190673828,16.491891860961914,74.7481460571289,105.05547332763672
2015-04-06,177.08822631835938,110.96368408203125,54.55764389038086,33.587921142578125,37.22403335571289,41.08768844604492,38.96760177612305,68.54007720947266,47.19121170043945,62.16999053955078,16.519142150878906,74.80984497070312,104.46885681152344
2015-04-07,176.61956787109375,110.25465393066406,54.59211730957031,33.201263427734375,37.143821716308594,41.02109146118164,38.78662872314453,68.16152954101562,47.08134460449219,62.31660461425781,16.430580139160156,74.75697326660156,105.34475708007812
2015-04-08,177.21603393554688,111.2030029296875,54.15080642700195,33.104591369628906,37.259681701660156,41.137630462646484,38.84958267211914,68.80143737792969,47.24190139770508,62.84257507324219,16.491891860961914,74.75697326660156,105.37694549560547
2015-04-09,177.99993896484375,110.80415344238281,55.019649505615234,32.963314056396484,37.35771560668945,41.25416564941406,38.95976257324219,68.86450958251953,47.47003173828125,63.31682586669922,16.519142150878906,74.7304916381836,104.0107650756836
2015-04-10,178.97129821777344,111.33594512939453,55.260990142822266,33.20869445800781,37.50029373168945,41.370704650878906,39.03056335449219,69.0988540649414,48.1375617980957,63.86005783081055,16.512319564819336,74.71293640136719,104.1634750366211
2015-04-13,178.16183471679688,111.40684509277344,54.7093505859375,32.88151550292969,37.393348693847656,41.20423889160156,38.84958267211914,68.72035217285156,47.681270599365234,63.51515197753906,16.573633193969727,74.75697326660156,104.30812072753906
